id,company_name,company_id,amount,status,created_at,paid_at
81633ba310a50b673efd469c37139576982901aa,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.61,paid,2019-02-27,2019-02-27
6ccfc4c24e788e4bca448df343698782db6b0c0b,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,184.49,paid,2019-02-05,2019-02-05
cdf1a7a6f5c9b0db543371f9e4bd127b451c09c9,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,115.84,paid,2019-01-22,2019-01-22
90820e39fa6aa60555edb6855a6c83e59a9ba271,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,81.33,paid,2019-01-12,2019-01-12
315fb708b31d2b98da63db63481550cf01087c75,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,230.27,paid,2019-03-29,2019-03-29
796fc616b760b45ebe0dc5cfc0b170d62e9320c2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,117.88,paid,2019-05-18,2019-05-18
32149975c2b32f5fa50b93a25c91cf067848e65e,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,64.36,paid,2019-04-16,2019-04-16
9778228bbb5ef7e2f5f7dac88b4fd533df4aa04a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,41.82,paid,2019-03-04,2019-03-04
0dca80440f819c7f3077d534e92a9634d66e279a,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,163.49,paid,2019-04-03,2019-04-03
6a528f598c344398ce78afb995a2f52c82395f24,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,188.70,paid,2019-05-10,2019-05-10
2f08a65c6e10505beae5a1cd544a45b1f46b6bb2,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,102.98,paid,2019-01-02,2019-01-02
be79778857c376c2d7c4500edcfa7eb00ab9ca47,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,158.33,paid,2019-04-11,2019-04-11
8e30aaeb7bd4400a333dfaaaca97e0b6df32985d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,51.44,paid,2019-03-01,2019-03-01
fc4c84b317ece0828e70be31af63f0e57f7ec76d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,49.47,paid,2019-01-02,2019-01-02
7ce16fa25eecf4465993708f6be270d9fe68245d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,16.47,paid,2019-03-10,2019-03-10
b92339e9ff0ecc7e551939474b5a410238719d83,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,204.41,paid,2019-02-07,2019-02-07
63276fa5b4b369647917687574c3a54d011de95d,MiPasajefy,cbf1c8b09cd5b549416d49d220a40cbd317f952e,23.06,paid,2019-03-15,2019-03-15
